,Feature,Importance
1,person_income,814
4,loan_int_rate,406
5,loan_percent_income,268
0,person_age,222
3,loan_amnt,210
2,person_emp_length,169
9,person_home_ownership_RENT,134
8,person_home_ownership_OWN,106
11,loan_intent_HOMEIMPROVEMENT,89
6,cb_person_cred_hist_length,88
14,loan_intent_VENTURE,87
12,loan_intent_MEDICAL,76
16,loan_grade_C,61
10,loan_intent_EDUCATION,58
13,loan_intent_PERSONAL,51
17,loan_grade_D,50
20,loan_grade_G,27
15,loan_grade_B,22
18,loan_grade_E,21
21,cb_person_default_on_file_Y,19
19,loan_grade_F,14
7,person_home_ownership_OTHER,8
